.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni
--DATA--
00297$;737831$;00638$;Cormen Bystøice$;0.00$;0.00$;491.40$; 
00298$;737831$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;65563.24$; 
00299$;737831$;00086$;ZVG$;0.00$;0.00$;14400.00$; 
00300$;737831$;00002$;Kartacovny a.s. Pelhrimov$;0.00$;0.00$;25683.57$; 
00301$;737831$;00001$;Zenit s.r.o. Èáslav$;0.00$;0.00$;86394.51$; 
00302$;737831$;00140$;Melitrade a.s.$;0.00$;0.00$;6160.00$; 
00303$;737831$;00253$;Colgate - Palmolive$;0.00$;0.00$;339.36$; 
00304$;737831$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;657.00$; 
00305$;737831$;00410$;Profi point s.r.o.$;0.00$;0.00$;7842.24$; 
00306$;737831$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;2145.00$; 
00307$;737831$;00002$;Kartacovny a.s. Pelhrimov$;0.00$;0.00$;1277.64$; 
00308$;737831$;00638$;Cormen Bystøice$;0.00$;0.00$;7056.96$; 
00309$;737831$;00349$;Unisale - Gutex s.r.o. Praha$;0.00$;0.00$;4200.00$; 
