.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni
--DATA--
00027$;737794$;00527$;SCA Hygiene products s.r.o.$;0.00$;0.00$;11595.12$; 
00028$;737795$;00078$;Vamtex s.r.o. Vamberk$;0.00$;0.00$;18928.00$; 
00029$;737795$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;11105.00$; 
00030$;737796$;00095$;Marca cz s.r.o. Praha$;0.00$;0.00$;15386.40$; 
00031$;737796$;00638$;Cormen Bystøice$;0.00$;0.00$;90176.13$; 
00032$;737796$;00032$;Procter & Gamble Rakovnik$;0.00$;0.00$;63544.80$; 
00033$;737796$;00030$;Henkel CR s.r.o. Praha$;0.00$;0.00$;54541.44$; 
00034$;737796$;00237$;Ecolab Hygiene s.r.o.$;0.00$;0.00$;13689.96$; 
00035$;737796$;00002$;Kartacovny a.s. Pelhrimov$;0.00$;0.00$;27660.91$; 
00036$;737796$;00048$;Solira Company s.r.o.$;0.00$;0.00$;36004.26$; 
00037$;737796$;00038$;TATRACHEMA CZ spol.s.r.o.$;0.00$;0.00$;9414.67$; 
00038$;737796$;00041$;Dubrava Valašské Klobouky$;0.00$;0.00$;3816.00$; 
00039$;737796$;00685$;Atotech - M.A.G.CZ,a.s.$;0.00$;0.00$;13994.48$; 
00040$;737796$;00698$;Apex Central Europe s.r.o.$;0.00$;0.00$;6942.72$; 
00041$;737796$;00080$;HLUBNA chemické výrobní$;0.00$;0.00$;16072.42$; 
00042$;737796$;00086$;ZVG$;0.00$;0.00$;4890.00$; 
00043$;737796$;00228$;OMA CZ, a.s. Straz p.R.$;0.00$;0.00$;1743.12$; 
00044$;737796$;00217$;Wimex s.r.o. Nachod$;0.00$;0.00$;11304.72$; 
00045$;737796$;00092$;UNILEVER ÈR, spol. s r.o.$;0.00$;0.00$;20295.20$; 
00046$;737796$;00691$;PROMIN CS spol.s r.o.$;0.00$;0.00$;1750.00$; 
00047$;737796$;00449$;Canis Safety a.s.$;0.00$;0.00$;7452.00$; 
00048$;737796$;00340$;Putorius s.r.o.$;0.00$;0.00$;13859.72$; 
00049$;737797$;00179$;Tomil s.r.o.$;0.00$;0.00$;12999.30$; 
00050$;737797$;00527$;SCA Hygiene products s.r.o.$;0.00$;0.00$;5628.30$; 
00051$;737797$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;11256.00$; 
00052$;737797$;00910$;SVING s.r.o.$;0.00$;0.00$;2043.36$; 
00053$;737797$;00602$;MPD plus Rakovník$;0.00$;0.00$;6249.60$; 
00054$;737797$;00687$;Avex Liberec s.r.o.$;0.00$;0.00$;7804.25$; 
00055$;737797$;00411$;Automax Group s.r.o.$;0.00$;0.00$;9720.30$; 
00056$;737797$;00228$;OMA CZ, a.s. Straz p.R.$;0.00$;0.00$;3704.96$; 
00057$;737798$;00981$;Miroslav Kuèera - Kuku papír$;0.00$;0.00$;56848.80$; 
00058$;737798$;00590$;Zempomarket a.s. Beèváry$;0.00$;0.00$;103418.00$; 
00059$;737798$;00088$;Kartáèovny VALA$;0.00$;0.00$;4866.88$; 
00060$;737798$;00772$;DISTRIMO$;0.00$;0.00$;5211.36$; 
00061$;737798$;00048$;Solira Company s.r.o.$;0.00$;0.00$;550.05$; 
00062$;737798$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;56545.44$; 
00063$;737798$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;1001.25$; 
00064$;737798$;01007$;Augustin Pecha-Mopservis s.r.o.$;0.00$;0.00$;14515.00$; 
00065$;737798$;01029$;PYTLÍK, a.s.$;0.00$;0.00$;95838.50$; 
00066$;737798$;00449$;Canis Safety a.s.$;0.00$;0.00$;3591.00$; 
00067$;737798$;00022$;MATTES TRADING s.r.o.$;0.00$;0.00$;5396.40$; 
00068$;737801$;00121$;K+S Czech Republic a.s.$;0.00$;0.00$;68238.72$; 
00069$;737801$;00217$;Wimex s.r.o. Nachod$;0.00$;0.00$;19044.00$; 
