.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;CisloKarty;NazevZbozi;MernaJednotka;NakupCena;Vydano
--DATA--
00009$;737794$;00981$;Miroslav Kuèera - Kuku papír$;3309$;Toaletní papír Gigant 2vrs.190 Harm/7360$;rol$;16.50$;576
00010$;737794$;00032$;Procter & Gamble Rakovnik$;2141$;Always Classic standard 10ks$;ks$;18.40$;24
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4517$;Avivá Lenor 4,75l zelenı Eliminátor$;kan$;159.66$;12
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4635$;Avivá Perlièky Lenor 210g Fresh zelenı$;ks$;77.53$;6
00010$;737794$;00032$;Procter & Gamble Rakovnik$;2610$;Holící pìna Gillete citlivá$;ks$;32.90$;12
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4646$;Jar tablety do myèky 45ks Platinum$;ks$;166.71$;20
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4707$;Jar tablety do myèky 60ks Yellow$;ks$;168.74$;20
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4997$;Nádobí Jar 650ml Extra Hygiene$;ks$;29.32$;32
00010$;737794$;00032$;Procter & Gamble Rakovnik$;3572$;Osvìovaè CAR Ambi-pur komplet Tobacco$;ks$;69.77$;6
00010$;737794$;00032$;Procter & Gamble Rakovnik$;3587$;Osvìovaè CAR Ambi-pur NN Ocean$;ks$;62.00$;6
00010$;737794$;00032$;Procter & Gamble Rakovnik$;2944$;Prací gel Ariel 1,1l /20dávek Color$;ks$;57.35$;8
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4616$;Prací gel Ariel 1,1l /20dávek Mountain$;ks$;60.10$;4
00010$;737794$;00032$;Procter & Gamble Rakovnik$;5581$;Prášek Ariel 100dávek Profi Regular$;ks$;298.17$;15
00010$;737794$;00032$;Procter & Gamble Rakovnik$;3513$;Prášek Ariel 20/18dávek Color$;ks$;58.09$;20
00010$;737794$;00032$;Procter & Gamble Rakovnik$;3555$;Prášek Ariel 20/18dávek Mountain$;ks$;54.61$;10
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4931$;Prášek Ariel 45dávek Color$;ks$;135.81$;16
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4932$;Prášek Ariel 45dávek Mountain$;ks$;141.31$;20
00010$;737794$;00032$;Procter & Gamble Rakovnik$;5504$;SG Old Spice 250ml Original/Rock$;ks$;42.18$;6
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4450$;SG Old Spice 250ml Whitewater/ Cooling$;ks$;33.74$;6
00010$;737794$;00032$;Procter & Gamble Rakovnik$;4593$;Šampon Head&Should 2v1 mentol 200ml$;ks$;57.43$;6
