.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;CisloKarty;NazevZbozi;MernaJednotka;Rabat;ProdCena;SazbaD;VKart;Vydano;Zisk
--DATA--
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;2173$;Krém na ruce Isolda 100ml šalvìj antibak$;ks$;-2.00$;16.91$;21$;25$;5$;13.45
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;2365$;Tekuté mýdlo 500ml Clear Body Oceán$;Ks$;-2.00$;20.28$;21$;12$;2$;8.76
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;2600$;Houbièka nádobí s drážkou po 1ks 10x7cm$;ks$;-2.00$;2.85$;21$;0$;10$;14.10
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;4736$;WC závìs Kostka levandule 40g$;ks$;-2.00$;9.34$;21$;24$;10$;23.40
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;4788$;WC èistiè HIT 750ml Industrial$;ks$;-2.00$;17.47$;21$;12$;2$;12.50
00017$;737794$;03905$;Krajská nemocnice Liberec   2129$;4809$;Nádobí Jar 450ml Teatree sensitive$;ks$;-2.00$;23.84$;21$;21$;10$;61.90
00018$;737794$;03893$;Krajská nemocnice Liberec   2132$;5757$;Koupelny Krystal 750ml MR$;ks$;-2.00$;37.85$;21$;18$;5$;44.40
00019$;737794$;03890$;Krajská nemocnice Liberec   2141HDS$;0351$;Nádobí Jar 450ml Citrón$;ks$;-2.00$;23.84$;21$;21$;2$;12.14
00019$;737794$;03890$;Krajská nemocnice Liberec   2141HDS$;4788$;WC èistiè HIT 750ml Industrial$;ks$;-2.00$;17.47$;21$;12$;2$;12.50
00020$;737794$;03906$;Krajská nemocnice Liberec   2141PIO$;2600$;Houbièka nádobí s drážkou po 1ks 10x7cm$;ks$;-2.00$;2.85$;21$;0$;10$;14.10
00021$;737794$;03908$;Krajská nemocnice Liberec   2162$;0955$;Písek tekutý REAL 600g jemný bílý/fialov$;ks$;-2.00$;31.54$;21$;20$;1$;11.40
00021$;737794$;03908$;Krajská nemocnice Liberec   2162$;4148$;Real gel chlorax 650g$;ks$;-2.00$;35.99$;21$;16$;1$;16.00
00021$;737794$;03908$;Krajská nemocnice Liberec   2162$;5757$;Koupelny Krystal 750ml MR$;ks$;-2.00$;37.85$;21$;18$;2$;17.76
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;0180$;Motouz POP  250g  1200 m/kg$;ks$;-2.00$;35.88$;21$;8$;2$;15.76
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;0387$;Okna Iron 500ml industrial$;ks$;-2.00$;11.67$;21$;8$;2$;3.94
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;0802$;Holící pìna Windsor 200ml$;ks$;-2.00$;35.62$;21$;12$;2$;17.44
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;0948$;Voda po holení Windsor 100ml$;ks$;-2.00$;26.98$;21$;10$;1$;2.73
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;1054$;Osvìžovaè spray Wind 300ml Jap.zahrada$;ks$;-2.00$;21.11$;21$;24$;5$;39.55
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;1056$;Tekuté mýdlo 5l Vakavo Love Herbal bílé$;kan$;-2.00$;75.10$;21$;0$;1$;20.39
